step,hour,action,action_description,pv_power_kw,load_kw,grid_import_kw,grid_export_kw,battery_charge_kw,battery_discharge_kw,soc,soh,battery_temp_k,grid_price,cost_grid_import,revenue_grid_export,soc_penalty,thermal_penalty,reward,td_error,cumulative_cost,cumulative_revenue
0,0,1,PV -> Load; excess PV -> Grid (sell),0.0,1.536634426000764,1.536634426000764,0.0,0.0,0.0,0.5,1.0,298.15,0.08433788819868285,0.12959650242229964,0.0,0.0,0.0,-0.12959650242229964,0.1286099647556013,0.12959650242229964,0.0
1,1,1,PV -> Load; excess PV -> Grid (sell),0.0,1.6017267480118285,1.6017267480118285,0.0,0.0,0.0,0.5,1.0,298.15,0.08030691541892085,0.12862973447680906,0.0,0.0,0.0,-0.12862973447680906,0.1272573669158439,0.25822623689910873,0.0
2,2,0,PV -> Load; excess PV -> Battery,0.0,1.4121705927971895,1.4121705927971895,0.0,0.0,0.0,0.5,1.0,298.15,0.08098025833329227,0.11435793941539489,0.0,0.0,0.0,-0.11435793941539489,0.05647790654347301,0.37258417631450363,0.0
3,3,2,Battery -> Load; Grid supplements if needed,0.0,1.3636990315311979,0.0,0.0,0.0,1.3636990315311979,0.4274628174717448,1.0,625.0895298618784,0.08340938718392739,0.0,0.0,0.0,649.8790597237569,-649.8790597237569,541.1797306108981,0.37258417631450363,0.0
4,4,1,PV -> Load; excess PV -> Grid (sell),0.0,1.2012242683317953,1.2012242683317953,0.0,0.0,0.0,0.4274628174717448,1.0,625.0895298618784,0.08247273180730391,0.09906824692255302,0.0,0.0,0.0,-0.09906824692255302,0.09761182395271012,0.47165242323705664,0.0
5,5,2,Battery -> Load; Grid supplements if needed,0.0,1.6457434472979302,0.0,0.0,0.0,1.6457434472979302,0.3399232724027059,1.0,1116.5207077093673,0.08173686953133452,0.0,0.0,0.0,978.8623556949779,-978.8623556949779,882.2102093270705,0.47165242323705664,0.0
6,6,2,Battery -> Load; Grid supplements if needed,0.02555608958444414,1.5024985950864072,0.0,0.0,0.0,1.5024985950864072,0.26000313436619493,1.0,1540.6105803147923,0.0788624882488378,0.0,0.0,0.0,844.1797452108499,-844.1797452108499,742.5858894745239,0.47165242323705664,0.0
7,7,0,PV -> Load; excess PV -> Battery,0.043048417732596676,5.030859701742024,4.987811284009427,0.0,0.0,0.0,0.26000313436619493,1.0,1540.6105803147923,0.07694337934748041,0.3837790557391807,0.0,0.0,0.0,-0.3837790557391807,0.37711606590950925,0.8554314789762374,0.0
8,8,1,PV -> Load; excess PV -> Grid (sell),0.06462776240865938,4.882460768524158,4.817833006115499,0.0,0.0,0.0,0.26000313436619493,1.0,1540.6105803147923,0.08112850668857981,0.3908635972611018,0.0,0.0,0.0,-0.3908635972611018,0.35965818424113305,1.2462950762373393,0.0
9,9,0,PV -> Load; excess PV -> Battery,0.08679099253779478,1.683974704392894,1.5971837118550993,0.0,0.0,0.0,0.26000313436619493,1.0,1540.6105803147923,0.13846412147135345,0.22115263949037167,0.0,0.0,0.0,-0.22115263949037167,0.2121803075985763,1.4674477157277108,0.0
10,10,2,Battery -> Load; Grid supplements if needed,0.10523185681127746,1.6414800866517025,0.0,0.0,0.0,1.6414800866517025,0.172690363799615,1.0,2073.2255236265505,0.14248170459649723,0.0,0.0,0.0,1061.2298866235164,-1061.2298866235164,1061.2269349045912,1.4674477157277108,0.0
11,11,1,PV -> Load; excess PV -> Grid (sell),0.11722653629029267,1.4817264177768465,1.3644998814865539,0.0,0.0,0.0,0.172690363799615,1.0,2073.2255236265505,0.24063376334415232,0.3283447415647593,0.0,0.0,0.0,-0.3283447415647593,0.31725024957473436,1.7957924572924702,0.0
12,12,0,PV -> Load; excess PV -> Battery,0.08571878268920424,2.4166204813146575,2.3309016986254534,0.0,0.0,0.0,0.172690363799615,1.0,2073.2255236265505,0.2377641169450106,0.5542047840593062,0.0,0.0,0.0,-0.5542047840593062,0.5513802055407521,2.3499972413517765,0.0
13,13,2,Battery -> Load; Grid supplements if needed,0.12287266260933362,2.446496292391213,1.079917452958451,0.0,0.0,1.3665788394327618,0.1,1.0,2467.7668560159746,0.24080317578852348,0.2600475522618484,0.0,0.0,785.0826647788481,-785.34271233111,785.3412707305528,2.610044793613625,0.0
14,14,1,PV -> Load; excess PV -> Grid (sell),0.11872033060179682,1.3802061686363025,1.2614858380345058,0.0,0.0,0.0,0.1,1.0,2467.7668560159746,0.1421275414244134,0.17929188070156005,0.0,0.0,0.0,-0.17929188070156005,0.1647910557936741,2.789336674315185,0.0
15,15,2,Battery -> Load; Grid supplements if needed,0.0306683208453289,1.503984622386081,1.503984622386081,0.0,0.0,0.0,0.1,1.0,2467.7668560159746,0.14053256034884412,0.21135880970920548,0.0,0.0,0.0,-0.21135880970920548,0.1753343035221332,3.0006954840243907,0.0
16,16,3,Grid -> Load; Grid -> Battery (arbitrage),0.03769795499488382,1.407574842044918,3.4075748420449177,0.0,2.0,0.0,0.196,1.0,3242.1226118506274,0.13765229270615878,0.46906048957530977,0.0,0.0,1544.7115116693058,-1545.180572158881,1390.6524495337394,3.4697559735997006,0.0
17,17,2,Battery -> Load; Grid supplements if needed,0.07870839479204703,1.5878313780813063,0.0,0.0,0.0,1.5878313780813063,0.11154088414461137,1.0,3769.0877618132736,0.2407869869990193,0.0,0.0,0.0,1049.9302999252923,-1049.9302999252923,1032.1415947354403,3.4697559735997006,0.0
18,18,0,PV -> Load; excess PV -> Battery,0.058208273426280335,5.446079713801188,5.387871440374908,0.0,0.0,0.0,0.11154088414461137,1.0,3769.0877618132736,0.2410710051141639,1.298859583557077,0.0,0.0,0.0,-1.298859583557077,1.046313211225326,4.768615557156778,0.0
19,19,1,PV -> Load; excess PV -> Grid (sell),0.03871959616263759,5.446906440409096,5.408186844246458,0.0,0.0,0.0,0.11154088414461137,1.0,3769.0877618132736,0.24247286212792932,1.3113385430470526,0.0,0.0,0.0,-1.3113385430470526,1.2464261467297786,6.079954100203831,0.0
20,20,1,PV -> Load; excess PV -> Grid (sell),0.023068944457855043,5.730587950630299,5.7075190061724435,0.0,0.0,0.0,0.11154088414461137,1.0,3769.0877618132736,0.14216610326797763,0.8114157364354566,0.0,0.0,0.0,-0.8114157364354566,0.7427312313936754,6.891369836639288,0.0
21,21,1,PV -> Load; excess PV -> Grid (sell),0.0,1.3911420716171916,1.3911420716171916,0.0,0.0,0.0,0.11154088414461137,1.0,3769.0877618132736,0.07727522746109698,0.10750082001492015,0.0,0.0,0.0,-0.10750082001492015,0.08276657965535203,6.998870656654208,0.0
22,22,0,PV -> Load; excess PV -> Battery,0.0,1.2648126168081804,1.2648126168081804,0.0,0.0,0.0,0.11154088414461137,1.0,3769.0877618132736,0.07850668593139112,0.09929624686982076,0.0,0.0,0.0,-0.09929624686982076,0.09908732106619478,7.098166903524028,0.0
23,23,3,Grid -> Load; Grid -> Battery (arbitrage),0.0,1.554932278861117,3.5549322788611173,0.0,2.0,0.0,0.20754088414461136,1.0,4538.113148840032,0.08181713938386,0.2908543897597631,0.0,0.0,1534.0507740535177,-1534.3416284432774,1115.6456407548242,7.3890212932837915,0.0
